pnid,native,minimized,native_eloss,minimized_eloss,af2norelax,af2relax
3OGK_3_Q,629.1545024849061,-401.3783776802419,-1472.8270673867532,-2428.9819752875305,283.4274447280235,55.718813598391876
3GZ1_2_P,1975.2261981820786,1457.0086002123985,2321.519967455135,98.01739958442676,1547.995010651829,1703.1016921476182
20#5C56_1_B,1361.9973310421349,274.99851352906944,-155.06291176697846,-1819.1774036023799,2476.418989810434,639.7715760018156
1U7B_2_B,91.16519212005414,-331.86142639454306,-1403.5293117297078,-2181.05843761716,1311.0449674195268,-346.9892697983023
2ZVM_2_U,1876.1573789676918,2240.9379692130533,1960.9944025730244,241.25799294501638,3465.882893586588,2425.7445149867913
2BRQ_2_C,753.4546563872883,2270.001421057868,431.4386478728609,-239.96234368792386,2479.220191126944,2217.2979805173104
3NMX_2_D,335.65300181002226,607.320347868216,-319.7597769597032,-550.7214760138892,3518.2945512639076,774.7099271550283
1GJA_1_A,1206.8239519795573,1083.9453071508756,-138.0844927461119,-733.1115915768552,2200.3342153756967,1008.7192115253542
4XBU_2_B,-452.6292915971819,-835.9732921653399,-1866.5777204634267,-2667.1326248483474,1147.677825907548,-429.9747158743835
3BQO_2_B,187.96570625070217,-865.5299708452533,-1112.480051868929,-2742.580299155571,-79.21829301396065,-1294.6148505905148
3IZO_2_F,4432.554975963288,1909.8940997415875,18825.338076379463,-294.63865288459345,2119.534374790944,1520.5823033114862
4G9J_2_C,367.4520468483504,-144.39475782533134,-579.5721414837585,-1262.3549301003768,876.6914043022988,65.96564659250384
1FIZ_2_L,207.8223636559237,25.557241757805514,-1568.0105071756461,-2161.5627171009937,1836.4821507544036,-877.0534841562087
2VZI_1_A,241.45358141458883,695.8279448832835,-900.9663249550375,-1346.4582432712336,685.1908005005076,133.7285401382536
4YOS_2_E,893.3910318365502,717.2314749438765,480.1847827578268,-1477.0709122919466,1294.1079084341231,397.1521692944043
2V8C_2_C,1962.3025460351141,1825.6923880055306,2033.2735887161398,1150.9518842355806,2266.129210099554,1812.101522015529
3MLV_3_P,795.5003225786801,306.10788412164027,-932.70008882877,-1754.6002664512757,47.18306814615812,-403.46997002894
1HR8_3_O,1601.4159688106688,1001.0261051537664,2238.7363913297113,-415.86808668455825,1533.6324600810512,949.6665261273099
3D24_2_B,1273.584523394289,1932.1577519129592,5942.3352723402295,-936.9483204794182,2806.1817446380287,1567.359825098216
3TDI_2_C,2702.3342991288446,1817.7091975327626,1437.5156000447255,244.18874165143978,2531.2046210210065,2073.444552154687
4QMG_2_F,971.7740577404962,691.2295876680255,66.40574474375609,-620.6106204798891,6375.215760044186,818.6156176821678
4LK9_2_B,396.1260657655737,398.7080685894888,-712.9432928531784,-1360.398805280336,673.6632848867473,552.4261920901971
4BZI_4_F,743.2829797033744,322.32394961220893,-370.47844667253173,-1142.7701900233578,1298.7984847120288,241.79955147832015
4DJC_2_B,2827.4693600390883,2427.094735582875,2868.2918554410694,66.87343923678549,4897.447281462588,2181.7704450915007
2GS0_2_B,2542.1697621891067,2456.5011533964503,1539.2913213474346,604.5529513783493,4283.32661896772,1949.8984965820741
3MLR_3_P,1131.4459906900302,1854.806263436013,243.28632153794777,32.737631746444066,9288.209633607628,1110.5659830825812
2IV8_2_P,1470.631921072806,-809.4161309235644,-38.1126425726236,-3172.490724226382,-868.5203761663226,-1861.108249411468
3R9I_2_E,1312.6718082375046,466.7219453474245,4335.466566180687,-2112.348562342306,404.52985258133276,-560.9439020467348
1YMM_3_C,1494.92295756783,901.2473684768513,13983.863397422121,-543.1372443052765,2201.170921411658,834.4421785768204
2XYI_2_B,1804.86443742618,-429.2697502003383,-539.1112229144429,-2239.8386507919076,1620.4328091500092,-104.53401073682119
1FIW_2_L,-116.09892215267246,-440.16854005326945,360.3806776104535,-2709.93488364042,1126.2998766198052,-268.85815659801324
1ZLA_6_K,1341.803974579571,-16.884317047828063,9208022.575174913,-2078.023447052,349.6953759674958,406.2108899643324
3HXI_2_C,-708.3394783533224,-1101.0615571563662,-3063.7800583351327,-3351.447188252705,181.37285269509084,-1159.8484253848385
2ASQ_2_B,1904.9958988086737,1520.808278637469,1157.8340624433376,-717.4218080699482,2729.090426534642,1742.1367403843276
4GHU_2_B,2049.9583149222385,1913.9042737585291,2045.330080106096,271.3531950907801,2551.8624862806946,1672.7748021302652
2LSJ_2_B,984.8017413693503,192.26688786298746,-1199.374482036514,-2320.726472469093,885.8696186591969,80.19533103608319
3BUA_2_E,14689.92551601663,1096.5503607650871,10329.802100097697,-599.3310818354033,3167.455433646025,1674.0031986227234
3OX7_2_P,12653.032537378607,686.3886929775239,7828.561725444097,-1258.814342435234,2845.42973789357,672.2659483941916
3IEC_2_E,915.805954790424,415.2897544026778,-248.77037993065477,-1276.459151592882,1928.5205047254215,565.9590030012671
3E1K_2_B,2470.938092162651,1274.003289665202,3305.8422214493694,-1176.9989214645034,1049.4911287718965,838.319780152648
3EWT_2_E,3620.157931837696,2818.282074292009,1460.7473294818037,433.3766855422651,2184.6303794852047,3136.0201789089197
4FVL_2_C,974.6724940200097,871.4190728824435,-255.58011240808185,-2636.1783685880905,931.6080498182957,-54.52501730619406
4B6H_2_C,2565.3291879436183,2891.330034696876,2418.184081884441,959.0551735699008,4428.88566139647,2784.0300927715975
1SBW_2_I,1103.5055659760083,1205.0349454091652,1258.3586425575477,-840.5946357832356,2824.0216957407347,1777.8222195128815
3ZRJ_2_X,289.61599772054524,16.12778525636395,-1642.694269961437,-2230.1213664408333,544.6855414956162,47.83961477866251
2Y0I_2_S,1646.3625380436424,1361.7726504250647,25.00909872971681,-677.8619836343942,2314.845425837405,1137.043463796958
3TVT_2_B,435.61334848350884,567.1931532183196,-1395.6537773519085,-2061.5920586148923,1919.9986394370671,-257.4635567475823
4C31_3_C,1795.383546023198,968.8480705656357,723.7058575015991,-460.82377379581374,1911.9367972760424,1327.5068734480503
4UWX_2_C,-259.7675969717186,-816.4165707315742,-1898.5746455329281,-3093.5349569566497,-406.00009402643,-611.6760305267424
2ZNL_2_B,1755.077576038416,1257.9027355358694,1191.1015298571583,-859.4483116911404,2184.578720122811,706.8826785491996
3S6N_7_M,2509.998795652544,2521.223130794164,1536.7001224304572,225.94686031629803,2426.388802959668,2224.4025627176798
